,heuristic,solution_len,acc,cum_acc
10795,sum_heuristic,677,True,0.32635
5384,sum_heuristic,678,True,0.3264
4915,mult_heuristic,679,False,0.3264
15858,sum_heuristic,679,False,0.3264
15108,sum_heuristic,680,False,0.3264
10397,sum_heuristic,680,True,0.32645
11277,sum_heuristic,680,False,0.32645
13802,sum_heuristic,680,True,0.3265
4923,mult_heuristic,681,True,0.32655
808,sum_heuristic,681,True,0.3266
2467,sum_heuristic,681,False,0.3266
9879,mult_heuristic,681,False,0.3266
10146,sum_heuristic,682,True,0.32665
19215,sum_heuristic,682,True,0.3267
18477,sum_heuristic,682,False,0.3267
12135,sum_heuristic,682,False,0.3267
15228,mult_heuristic,683,False,0.3267
418,mult_heuristic,683,True,0.32675
5029,mult_heuristic,683,False,0.32675
16351,sum_heuristic,684,False,0.32675
17606,mult_heuristic,684,True,0.3268
9430,sum_heuristic,685,True,0.32685
4920,mult_heuristic,685,True,0.3269
16119,sum_heuristic,685,True,0.32695
18421,mult_heuristic,685,True,0.327
7572,mult_heuristic,685,True,0.32705
11372,mult_heuristic,685,True,0.3271
7728,sum_heuristic,686,False,0.3271
16869,mult_heuristic,686,False,0.3271
19132,mult_heuristic,686,True,0.32715
932,sum_heuristic,686,False,0.32715
15940,mult_heuristic,687,True,0.3272
358,sum_heuristic,687,True,0.32725
19053,mult_heuristic,687,True,0.3273
13221,sum_heuristic,687,False,0.3273
9253,sum_heuristic,687,True,0.32735
11324,sum_heuristic,687,True,0.3274
14952,mult_heuristic,687,True,0.32745
17650,mult_heuristic,687,True,0.3275
3473,mult_heuristic,687,True,0.32755
3439,mult_heuristic,687,True,0.3276
14106,mult_heuristic,687,True,0.32765
645,sum_heuristic,688,False,0.32765
15251,sum_heuristic,688,False,0.32765
3469,mult_heuristic,688,False,0.32765
16431,mult_heuristic,688,False,0.32765
15905,sum_heuristic,688,True,0.3277
7730,mult_heuristic,688,False,0.3277
13345,mult_heuristic,688,True,0.32775
11090,sum_heuristic,688,True,0.3278
17143,mult_heuristic,688,False,0.3278
207,mult_heuristic,689,True,0.32785
3276,sum_heuristic,689,False,0.32785
9710,mult_heuristic,689,False,0.32785
9448,mult_heuristic,689,True,0.3279
5405,mult_heuristic,689,False,0.3279
10219,mult_heuristic,689,True,0.32795
18371,mult_heuristic,689,True,0.328
3819,sum_heuristic,689,False,0.328
8696,mult_heuristic,690,True,0.32805
12794,mult_heuristic,690,True,0.3281
6188,sum_heuristic,690,True,0.32815
11796,mult_heuristic,690,True,0.3282
9900,mult_heuristic,690,True,0.32825
16844,sum_heuristic,690,True,0.3283
6072,sum_heuristic,690,True,0.32835
18096,sum_heuristic,690,True,0.3284
13944,sum_heuristic,690,True,0.32845
16584,sum_heuristic,690,False,0.32845
13316,sum_heuristic,690,True,0.3285
4085,mult_heuristic,690,True,0.32855
2105,mult_heuristic,690,True,0.3286
17525,mult_heuristic,691,True,0.32865
6667,sum_heuristic,691,True,0.3287
13073,sum_heuristic,691,True,0.32875
12876,sum_heuristic,691,True,0.3288
16183,mult_heuristic,691,True,0.32885
14043,sum_heuristic,691,True,0.3289
13778,sum_heuristic,691,True,0.32895
7480,mult_heuristic,691,True,0.329
9813,sum_heuristic,691,True,0.32905
11077,sum_heuristic,691,True,0.3291
16359,sum_heuristic,692,True,0.32915
14000,mult_heuristic,692,True,0.3292
7926,mult_heuristic,692,True,0.32925
14747,mult_heuristic,693,True,0.3293
18779,mult_heuristic,693,True,0.32935
2410,sum_heuristic,693,True,0.3294
9783,mult_heuristic,693,True,0.32945
12134,sum_heuristic,693,True,0.3295
2195,sum_heuristic,693,True,0.32955
507,sum_heuristic,693,True,0.3296
19684,mult_heuristic,693,True,0.32965
716,sum_heuristic,693,True,0.3297
16187,sum_heuristic,694,True,0.32975
6201,sum_heuristic,694,True,0.3298
3089,mult_heuristic,694,True,0.32985
2511,mult_heuristic,695,True,0.3299
7869,mult_heuristic,695,False,0.3299
8387,sum_heuristic,695,True,0.32995
16534,mult_heuristic,695,True,0.33
11274,mult_heuristic,695,True,0.33005
4201,sum_heuristic,695,True,0.3301
13726,mult_heuristic,695,True,0.33015
13572,sum_heuristic,696,True,0.3302
9564,mult_heuristic,696,True,0.33025
6498,sum_heuristic,696,True,0.3303
18648,sum_heuristic,697,True,0.33035
10533,mult_heuristic,697,True,0.3304
3872,mult_heuristic,697,False,0.3304
2151,sum_heuristic,697,False,0.3304
3371,mult_heuristic,698,False,0.3304
2069,mult_heuristic,699,True,0.33045
4074,sum_heuristic,700,True,0.3305
8893,mult_heuristic,700,True,0.33055
7706,mult_heuristic,700,True,0.3306
18791,mult_heuristic,700,False,0.3306
8848,sum_heuristic,701,True,0.33065
14559,mult_heuristic,701,False,0.33065
13776,sum_heuristic,701,True,0.3307
18383,mult_heuristic,701,True,0.33075
19304,sum_heuristic,701,True,0.3308
19644,mult_heuristic,701,False,0.3308
12415,mult_heuristic,702,False,0.3308
18340,sum_heuristic,702,False,0.3308
10309,sum_heuristic,702,True,0.33085
11883,sum_heuristic,703,True,0.3309
11127,sum_heuristic,703,True,0.33095
15249,mult_heuristic,703,True,0.331
14603,sum_heuristic,703,False,0.331
18105,mult_heuristic,703,True,0.33105
7305,sum_heuristic,703,False,0.33105
15538,sum_heuristic,703,True,0.3311
10710,mult_heuristic,703,False,0.3311
19531,mult_heuristic,704,True,0.33115
8691,mult_heuristic,704,True,0.3312
7159,sum_heuristic,704,False,0.3312
4888,sum_heuristic,704,True,0.33125
1135,mult_heuristic,704,True,0.3313
5529,mult_heuristic,705,False,0.3313
13531,mult_heuristic,705,False,0.3313
14105,sum_heuristic,706,False,0.3313
9230,mult_heuristic,706,True,0.33135
3229,mult_heuristic,706,True,0.3314
19023,mult_heuristic,706,True,0.33145
13499,sum_heuristic,706,False,0.33145
18393,sum_heuristic,706,True,0.3315
4428,sum_heuristic,706,True,0.33155
11176,sum_heuristic,707,False,0.33155
5475,sum_heuristic,707,True,0.3316
15902,sum_heuristic,707,True,0.33165
5020,sum_heuristic,707,False,0.33165
8303,sum_heuristic,707,False,0.33165
2610,mult_heuristic,707,True,0.3317
3318,sum_heuristic,707,True,0.33175
19898,mult_heuristic,708,True,0.3318
6976,sum_heuristic,708,True,0.33185
16017,mult_heuristic,708,False,0.33185
16276,mult_heuristic,708,False,0.33185
19015,mult_heuristic,709,True,0.3319
10677,sum_heuristic,709,True,0.33195
10265,sum_heuristic,709,False,0.33195
1450,sum_heuristic,709,False,0.33195
15737,sum_heuristic,711,False,0.33195
5558,mult_heuristic,711,True,0.332
841,sum_heuristic,711,False,0.332
2522,sum_heuristic,712,False,0.332
1304,sum_heuristic,712,True,0.33205
12262,sum_heuristic,713,True,0.3321
14478,mult_heuristic,713,True,0.33215
8538,mult_heuristic,714,False,0.33215
950,sum_heuristic,714,True,0.3322
19123,mult_heuristic,714,False,0.3322
9688,mult_heuristic,714,False,0.3322
16182,sum_heuristic,715,False,0.3322
15592,mult_heuristic,715,True,0.33225
10809,mult_heuristic,715,True,0.3323
14329,sum_heuristic,715,True,0.33235
8126,sum_heuristic,715,True,0.3324
18060,mult_heuristic,715,True,0.33245
18785,sum_heuristic,716,True,0.3325
8785,mult_heuristic,716,False,0.3325
6259,sum_heuristic,716,True,0.33255
2745,sum_heuristic,716,True,0.3326
17843,mult_heuristic,717,False,0.3326
3185,sum_heuristic,717,True,0.33265
18419,sum_heuristic,718,False,0.33265
9140,sum_heuristic,718,False,0.33265
4206,sum_heuristic,718,True,0.3327
3586,mult_heuristic,718,True,0.33275
2209,mult_heuristic,718,True,0.3328
608,sum_heuristic,718,True,0.33285
19402,mult_heuristic,718,True,0.3329
7667,mult_heuristic,718,False,0.3329
16857,sum_heuristic,718,False,0.3329
7334,mult_heuristic,719,True,0.33295
12419,sum_heuristic,719,True,0.333
4886,sum_heuristic,719,True,0.33305
16821,mult_heuristic,719,True,0.3331
17926,sum_heuristic,719,True,0.33315
1985,sum_heuristic,719,True,0.3332
19140,mult_heuristic,719,True,0.33325
16903,mult_heuristic,719,False,0.33325
10645,sum_heuristic,719,False,0.33325
7628,sum_heuristic,719,False,0.33325
8585,mult_heuristic,719,True,0.3333
19248,mult_heuristic,719,True,0.33335
3026,mult_heuristic,719,True,0.3334
5135,mult_heuristic,719,True,0.33345
18787,mult_heuristic,719,False,0.33345
12019,sum_heuristic,720,True,0.3335
7080,mult_heuristic,720,True,0.33355
10497,mult_heuristic,720,False,0.33355
9200,mult_heuristic,720,True,0.3336
19352,mult_heuristic,720,True,0.33365
8810,mult_heuristic,720,False,0.33365
11447,mult_heuristic,720,True,0.3337
10435,mult_heuristic,720,False,0.3337
13432,sum_heuristic,720,True,0.33375
2673,mult_heuristic,720,True,0.3338
5227,sum_heuristic,720,False,0.3338
1868,sum_heuristic,720,True,0.33385
15067,sum_heuristic,721,True,0.3339
6574,sum_heuristic,721,True,0.33395
8152,sum_heuristic,721,False,0.33395
18773,sum_heuristic,722,False,0.33395
17685,sum_heuristic,722,True,0.334
4388,mult_heuristic,722,False,0.334
13030,sum_heuristic,722,True,0.33405
2731,sum_heuristic,722,True,0.3341
13068,sum_heuristic,722,True,0.33415
14904,sum_heuristic,722,True,0.3342
13290,mult_heuristic,722,True,0.33425
17804,mult_heuristic,722,False,0.33425
8732,sum_heuristic,722,True,0.3343
9905,mult_heuristic,722,True,0.33435
8715,sum_heuristic,723,False,0.33435
7969,sum_heuristic,723,True,0.3344
15178,mult_heuristic,723,True,0.33445
520,sum_heuristic,723,True,0.3345
19634,mult_heuristic,724,True,0.33455
2289,mult_heuristic,724,False,0.33455
5085,mult_heuristic,724,False,0.33455
3809,mult_heuristic,724,True,0.3346
4627,mult_heuristic,724,True,0.33465
993,sum_heuristic,724,True,0.3347
15652,sum_heuristic,724,True,0.33475
19814,sum_heuristic,725,True,0.3348
19188,mult_heuristic,725,True,0.33485
14361,sum_heuristic,725,True,0.3349
2480,sum_heuristic,725,True,0.33495
18271,sum_heuristic,725,False,0.33495
16736,sum_heuristic,725,True,0.335
6323,sum_heuristic,726,True,0.33505
16553,mult_heuristic,726,True,0.3351
19676,sum_heuristic,726,True,0.33515
11363,mult_heuristic,726,True,0.3352
9441,sum_heuristic,726,True,0.33525
13286,mult_heuristic,726,True,0.3353
9378,mult_heuristic,726,True,0.33535
11647,sum_heuristic,726,True,0.3354
3911,mult_heuristic,726,False,0.3354
3364,mult_heuristic,727,True,0.33545
4493,sum_heuristic,727,True,0.3355
3423,mult_heuristic,727,True,0.33555
6547,sum_heuristic,727,False,0.33555
16909,sum_heuristic,727,True,0.3356
3808,sum_heuristic,727,True,0.33565
14503,mult_heuristic,727,False,0.33565
5058,sum_heuristic,727,True,0.3357
16769,mult_heuristic,728,True,0.33575
16617,mult_heuristic,728,True,0.3358
3496,mult_heuristic,728,False,0.3358
11255,sum_heuristic,728,True,0.33585
16511,mult_heuristic,729,True,0.3359
9227,mult_heuristic,729,True,0.33595
19538,sum_heuristic,729,True,0.336
3352,sum_heuristic,729,True,0.33605
2332,sum_heuristic,729,True,0.3361
6519,mult_heuristic,729,True,0.33615
11124,sum_heuristic,729,True,0.3362
2495,mult_heuristic,729,True,0.33625
15753,mult_heuristic,729,True,0.3363
4358,mult_heuristic,729,True,0.33635
4404,mult_heuristic,729,True,0.3364
10684,mult_heuristic,729,True,0.33645
7893,sum_heuristic,729,True,0.3365
15960,mult_heuristic,729,True,0.33655
11330,mult_heuristic,729,False,0.33655
5196,sum_heuristic,729,True,0.3366
6396,mult_heuristic,729,True,0.33665
16010,mult_heuristic,730,True,0.3367
2246,mult_heuristic,730,True,0.33675
15770,sum_heuristic,730,True,0.3368
12656,sum_heuristic,730,True,0.33685
19157,mult_heuristic,730,True,0.3369
5327,mult_heuristic,730,True,0.33695
12184,mult_heuristic,730,True,0.337
16177,mult_heuristic,730,False,0.337
17016,mult_heuristic,731,True,0.33705
10903,mult_heuristic,731,True,0.3371
17168,sum_heuristic,731,False,0.3371
1686,sum_heuristic,731,True,0.33715
12580,sum_heuristic,731,True,0.3372
16683,sum_heuristic,731,True,0.33725
17284,sum_heuristic,731,True,0.3373
14538,mult_heuristic,731,True,0.33735
14325,mult_heuristic,731,False,0.33735
4450,sum_heuristic,731,True,0.3374
3951,sum_heuristic,731,False,0.3374
2285,sum_heuristic,732,False,0.3374
10665,mult_heuristic,732,True,0.33745
10593,mult_heuristic,732,False,0.33745
474,sum_heuristic,732,True,0.3375
4490,sum_heuristic,732,True,0.33755
4949,sum_heuristic,732,True,0.3376
6153,mult_heuristic,732,True,0.33765
15707,mult_heuristic,733,True,0.3377
14455,mult_heuristic,733,False,0.3377
15704,mult_heuristic,733,True,0.33775
7290,mult_heuristic,733,True,0.3378
10192,mult_heuristic,733,False,0.3378
12959,mult_heuristic,733,False,0.3378
15541,mult_heuristic,733,True,0.33785
9704,mult_heuristic,733,True,0.3379
5313,sum_heuristic,734,True,0.33795
19687,sum_heuristic,734,True,0.338
196,mult_heuristic,734,False,0.338
14407,mult_heuristic,734,False,0.338
7294,mult_heuristic,734,True,0.33805
17495,sum_heuristic,734,True,0.3381
3028,sum_heuristic,734,True,0.33815
9533,sum_heuristic,734,True,0.3382
796,sum_heuristic,734,True,0.33825
