,heuristic,solution_len,acc,cum_acc
737,sum_heuristic,6383,True,0.195
386,mult_heuristic,6403,True,0.196
376,sum_heuristic,6442,False,0.196
141,mult_heuristic,6459,True,0.197
949,sum_heuristic,6473,False,0.197
486,sum_heuristic,6577,True,0.198
769,sum_heuristic,6627,False,0.198
591,mult_heuristic,6647,True,0.199
452,sum_heuristic,6668,True,0.2
916,mult_heuristic,6704,True,0.201
357,mult_heuristic,6752,True,0.202
928,sum_heuristic,6753,True,0.203
475,mult_heuristic,6757,True,0.204
550,sum_heuristic,6777,False,0.204
571,sum_heuristic,6787,False,0.204
889,sum_heuristic,6806,False,0.204
841,sum_heuristic,6819,False,0.204
947,mult_heuristic,6925,False,0.204
281,sum_heuristic,6940,True,0.205
665,sum_heuristic,6985,True,0.206
17,mult_heuristic,7091,True,0.207
411,sum_heuristic,7109,False,0.207
397,mult_heuristic,7208,True,0.208
396,sum_heuristic,7217,True,0.209
562,mult_heuristic,7245,True,0.21
771,mult_heuristic,7265,True,0.211
120,sum_heuristic,7267,False,0.211
421,mult_heuristic,7291,False,0.211
641,mult_heuristic,7354,True,0.212
403,sum_heuristic,7370,False,0.212
972,mult_heuristic,7488,True,0.213
969,mult_heuristic,7588,False,0.213
874,sum_heuristic,7631,False,0.213
476,sum_heuristic,7742,False,0.213
669,mult_heuristic,7770,False,0.213
997,sum_heuristic,7792,False,0.213
783,sum_heuristic,7831,True,0.214
40,sum_heuristic,7917,True,0.215
541,sum_heuristic,7960,False,0.215
294,mult_heuristic,7979,True,0.216
640,sum_heuristic,8031,False,0.216
966,mult_heuristic,8065,False,0.216
933,sum_heuristic,8118,False,0.216
506,mult_heuristic,8133,True,0.217
253,mult_heuristic,8137,True,0.218
198,mult_heuristic,8143,True,0.219
176,sum_heuristic,8145,True,0.22
229,mult_heuristic,8164,True,0.221
567,sum_heuristic,8179,True,0.222
107,sum_heuristic,8197,False,0.222
712,sum_heuristic,8229,False,0.222
368,mult_heuristic,8268,True,0.223
237,mult_heuristic,8388,False,0.223
296,mult_heuristic,8397,True,0.224
115,sum_heuristic,8402,True,0.225
274,mult_heuristic,8442,False,0.225
854,sum_heuristic,8444,False,0.225
374,mult_heuristic,8466,False,0.225
773,sum_heuristic,8535,False,0.225
191,sum_heuristic,8560,False,0.225
580,sum_heuristic,8593,False,0.225
234,mult_heuristic,8736,False,0.225
989,sum_heuristic,8795,True,0.226
902,mult_heuristic,8838,True,0.227
355,mult_heuristic,8865,True,0.228
97,mult_heuristic,8866,False,0.228
190,sum_heuristic,8874,True,0.229
462,sum_heuristic,8925,False,0.229
206,sum_heuristic,8965,True,0.23
666,mult_heuristic,9082,True,0.231
548,sum_heuristic,9180,False,0.231
846,sum_heuristic,9188,True,0.232
993,sum_heuristic,9240,True,0.233
189,sum_heuristic,9413,False,0.233
346,mult_heuristic,9422,True,0.234
171,mult_heuristic,9424,True,0.235
195,mult_heuristic,9462,True,0.236
976,sum_heuristic,9483,False,0.236
833,mult_heuristic,9494,False,0.236
677,sum_heuristic,9501,True,0.237
978,sum_heuristic,9507,True,0.238
799,mult_heuristic,9534,True,0.239
878,sum_heuristic,9536,False,0.239
381,mult_heuristic,9551,False,0.239
442,mult_heuristic,9787,True,0.24
709,mult_heuristic,9838,True,0.241
145,mult_heuristic,9971,False,0.241
104,sum_heuristic,10079,False,0.241
259,sum_heuristic,10130,False,0.241
183,sum_heuristic,10178,True,0.242
679,sum_heuristic,10185,False,0.242
16,mult_heuristic,10235,False,0.242
138,mult_heuristic,10405,True,0.243
624,mult_heuristic,10512,True,0.244
316,sum_heuristic,10536,True,0.245
915,mult_heuristic,10642,False,0.245
810,mult_heuristic,10656,True,0.246
968,mult_heuristic,10661,False,0.246
822,sum_heuristic,10678,False,0.246
967,sum_heuristic,10711,False,0.246
352,sum_heuristic,10809,False,0.246
363,sum_heuristic,10899,True,0.247
39,mult_heuristic,10904,False,0.247
755,mult_heuristic,10984,True,0.248
479,sum_heuristic,10990,True,0.249
468,mult_heuristic,11008,False,0.249
83,mult_heuristic,11033,True,0.25
587,mult_heuristic,11045,False,0.25
127,sum_heuristic,11072,False,0.25
114,sum_heuristic,11115,False,0.25
992,mult_heuristic,11208,False,0.25
782,mult_heuristic,11240,True,0.251
405,mult_heuristic,11280,True,0.252
432,mult_heuristic,11290,True,0.253
622,mult_heuristic,11311,True,0.254
907,mult_heuristic,11337,False,0.254
829,mult_heuristic,11346,True,0.255
595,sum_heuristic,11347,True,0.256
725,sum_heuristic,11370,False,0.256
295,mult_heuristic,11411,False,0.256
254,mult_heuristic,11473,False,0.256
957,sum_heuristic,11510,False,0.256
934,sum_heuristic,11597,False,0.256
