,heuristic,solution_len,acc,cum_acc
9546,sum_heuristic,723,True,0.26485
231,sum_heuristic,723,True,0.2649
5557,sum_heuristic,723,True,0.26495
16227,sum_heuristic,723,True,0.265
16520,sum_heuristic,724,True,0.26505
11399,mult_heuristic,725,True,0.2651
17330,sum_heuristic,725,True,0.26515
12482,sum_heuristic,725,True,0.2652
177,sum_heuristic,725,True,0.26525
11709,sum_heuristic,725,True,0.2653
17401,sum_heuristic,725,True,0.26535
1341,mult_heuristic,725,True,0.2654
5271,sum_heuristic,725,True,0.26545
345,sum_heuristic,725,True,0.2655
14025,sum_heuristic,725,True,0.26555
9318,sum_heuristic,726,True,0.2656
17458,sum_heuristic,726,True,0.26565
12281,sum_heuristic,726,True,0.2657
7010,sum_heuristic,726,True,0.26575
8029,sum_heuristic,726,True,0.2658
18919,sum_heuristic,726,True,0.26585
8229,sum_heuristic,726,True,0.2659
13453,sum_heuristic,726,True,0.26595
13166,mult_heuristic,726,True,0.266
19787,sum_heuristic,726,True,0.26605
16569,sum_heuristic,726,True,0.2661
3033,sum_heuristic,726,True,0.26615
8386,sum_heuristic,726,True,0.2662
19375,mult_heuristic,727,True,0.26625
10653,sum_heuristic,727,True,0.2663
1437,mult_heuristic,727,True,0.26635
565,sum_heuristic,728,True,0.2664
3064,mult_heuristic,728,True,0.26645
957,sum_heuristic,728,True,0.2665
12103,sum_heuristic,728,True,0.26655
16208,sum_heuristic,729,True,0.2666
16776,sum_heuristic,729,True,0.26665
7821,sum_heuristic,729,True,0.2667
2249,sum_heuristic,729,True,0.26675
2949,sum_heuristic,729,True,0.2668
16261,sum_heuristic,729,True,0.26685
578,sum_heuristic,729,True,0.2669
12894,sum_heuristic,729,True,0.26695
3005,sum_heuristic,729,True,0.267
2837,sum_heuristic,730,True,0.26705
4711,sum_heuristic,730,True,0.2671
628,sum_heuristic,731,True,0.26715
15875,sum_heuristic,731,True,0.2672
13209,sum_heuristic,731,True,0.26725
3718,sum_heuristic,731,True,0.2673
17034,mult_heuristic,731,True,0.26735
1809,sum_heuristic,731,True,0.2674
1471,sum_heuristic,731,True,0.26745
60,sum_heuristic,731,True,0.2675
9657,mult_heuristic,732,True,0.26755
10649,sum_heuristic,732,True,0.2676
16751,sum_heuristic,732,True,0.26765
17825,mult_heuristic,732,True,0.2677
18250,sum_heuristic,732,True,0.26775
11561,sum_heuristic,732,True,0.2678
31,sum_heuristic,732,True,0.26785
7810,sum_heuristic,732,True,0.2679
19239,sum_heuristic,732,True,0.26795
656,sum_heuristic,732,True,0.268
12273,sum_heuristic,732,True,0.26805
2390,sum_heuristic,732,True,0.2681
1127,sum_heuristic,732,True,0.26815
18666,sum_heuristic,732,True,0.2682
2037,sum_heuristic,732,True,0.26825
3315,sum_heuristic,732,True,0.2683
10110,sum_heuristic,732,True,0.26835
4597,mult_heuristic,732,True,0.2684
591,sum_heuristic,732,True,0.26845
14695,sum_heuristic,732,True,0.2685
11009,mult_heuristic,734,True,0.26855
12940,mult_heuristic,734,True,0.2686
15568,sum_heuristic,735,True,0.26865
16943,mult_heuristic,735,True,0.2687
14492,sum_heuristic,735,True,0.26875
937,sum_heuristic,735,True,0.2688
3330,sum_heuristic,735,True,0.26885
362,sum_heuristic,735,True,0.2689
17062,sum_heuristic,735,True,0.26895
1899,mult_heuristic,736,True,0.269
11248,sum_heuristic,736,True,0.26905
9632,mult_heuristic,736,True,0.2691
4969,mult_heuristic,737,True,0.26915
10646,sum_heuristic,737,True,0.2692
10100,sum_heuristic,737,True,0.26925
6106,sum_heuristic,737,True,0.2693
16823,sum_heuristic,738,True,0.26935
6635,sum_heuristic,738,True,0.2694
11418,sum_heuristic,738,True,0.26945
13315,sum_heuristic,739,True,0.2695
2963,sum_heuristic,739,True,0.26955
5771,sum_heuristic,739,True,0.2696
1216,sum_heuristic,739,True,0.26965
3614,mult_heuristic,739,True,0.2697
1163,mult_heuristic,740,True,0.26975
15060,mult_heuristic,740,True,0.2698
18401,sum_heuristic,740,True,0.26985
14061,sum_heuristic,741,True,0.2699
6938,sum_heuristic,741,True,0.26995
3939,sum_heuristic,741,True,0.27
16468,sum_heuristic,741,True,0.27005
