,heuristic,solution_len,acc,beam_width
190,sum_heuristic,3399,False,3
191,mult_heuristic,3480,False,3
192,mult_heuristic,291,False,1
193,sum_heuristic,3466,False,3
194,sum_heuristic,1279,False,2
195,sum_heuristic,6358,False,4
196,mult_heuristic,306,False,1
197,sum_heuristic,6269,False,4
198,sum_heuristic,1848,True,5
199,sum_heuristic,9597,False,5
200,mult_heuristic,233,True,1
201,mult_heuristic,1775,True,5
202,mult_heuristic,3411,False,3
203,sum_heuristic,483,True,2
204,mult_heuristic,4565,True,5
205,mult_heuristic,233,True,1
206,sum_heuristic,463,True,2
207,mult_heuristic,1269,False,2
208,mult_heuristic,284,False,1
209,sum_heuristic,6387,False,4
210,mult_heuristic,1349,True,4
211,sum_heuristic,1308,False,2
212,mult_heuristic,940,True,2
213,mult_heuristic,992,True,3
214,mult_heuristic,1741,True,3
215,sum_heuristic,294,False,1
216,mult_heuristic,1264,False,2
217,mult_heuristic,2261,True,4
218,mult_heuristic,3425,False,3
219,sum_heuristic,1228,False,2
220,mult_heuristic,1266,False,2
221,sum_heuristic,1537,True,4
222,mult_heuristic,3338,True,5
223,mult_heuristic,1094,True,3
224,sum_heuristic,285,False,1
225,mult_heuristic,1334,True,4
226,sum_heuristic,294,False,1
227,sum_heuristic,1095,False,2
228,mult_heuristic,9378,False,5
229,mult_heuristic,3487,False,3
230,mult_heuristic,5888,False,4
231,sum_heuristic,1279,False,2
232,sum_heuristic,3440,False,3
233,sum_heuristic,1263,True,4
234,sum_heuristic,3598,False,3
235,sum_heuristic,1853,True,5
236,mult_heuristic,3390,False,3
237,mult_heuristic,1197,True,4
238,mult_heuristic,3463,False,3
239,sum_heuristic,794,True,3
240,mult_heuristic,4285,True,4
241,sum_heuristic,237,True,1
242,mult_heuristic,1308,False,2
243,mult_heuristic,1267,False,2
244,mult_heuristic,6184,False,4
245,sum_heuristic,1274,False,2
246,sum_heuristic,4346,True,5
247,mult_heuristic,1233,False,2
248,mult_heuristic,280,False,1
249,mult_heuristic,6027,False,4
250,mult_heuristic,293,False,1
251,sum_heuristic,855,True,3
